Match type,Search term,Excluded Keyword,Keyword,Impressions
exact (close variant),shampoo that prevents lice,,[shampoo to prevent lice],1
exact (close variant),shampoo that prevents lice,,[shampoo for lice prevention],1
phrase,best way to get rid of head lice,, +head +lice,1
broad,lice treatment for guinea pigs,, +treatment +for +lice,1
broad,puressential lice repellant spray,, +repel +lice,1
broad,head lice treatment pregnancy,, +treating +lice,1
phrase,does vodka kill lice,, +kill +lice,1
phrase,head lice treatment for 3 year old,, +head +lice,1
phrase,head lice treatment 2 year old,, +lice +treatment,1
phrase,does head lice treatment kill the eggs,, +head +lice,1
phrase,what is best head lice treatment,, +head +lice,1
phrase (close variant),best lice treatments,, +lice +treatment,1
phrase,top head lice treatment,, +head +lice,1
phrase (close variant),coloured headlice lotion,, +lice +lotion,1
exact (close variant),head lice solutions,,[head lice solution],1
broad,best solutin for nits or lice,, +best +lice +solution,1
phrase (close variant),whats the best headlice stuff,, +head +lice,1
phrase,lyclear head lice repellent spray,, +head +lice +repellent,1
broad,can head lice live in short hair,, +lice +in +hair,1
phrase (close variant),how do i need if i have headlice,, +head +lice,1
phrase,head lice returning,, +head +lice,1
broad,most effective head lice shampoi,, +most +effective +lice +shampoo,1
phrase,how to remove lice eggs quickly,, +how +to +remove +lice,1
phrase,long term effects of untreated head lice,, +head +lice,1
phrase (close variant),wikos head luce,, +head +lice,1
exact (close variant),headlice treatment for kids,,[head lice treatment for kids],1
exact (close variant),how to detect headlice,,[how to detect head lice],1
broad,how to get rid of head lice using conditioner,, +head +lice +rid,1
exact (close variant),head lice home remedy,,[home remedies for head lice],1
phrase,head lice on carpet what will happen,, +head +lice,1
phrase,can you use lice shampoo for fleas,, +lice +shampoo,1
broad,to prevent lice in the hair,, +hair +lice +prevention,1
broad,natural remedies to get rid of head lice,, +natural +head +lice +remedy,1
phrase,the moose head lice treatment,, +lice +treatment,1
exact (close variant),treatment for head lice in toddlers,, +head +lice +treatment +for +toddlers,1
phrase,what repels head lice,, +head +lice,1
phrase (close variant),how to get rid of headlice eggs,, +head +lice,1
phrase,can head lice live on pillows and sheets,, +head +lice,1
phrase,latest head lice treatment,, +head +lice,1
phrase,anti lice shampoo asda,, +lice +shampoo,1
phrase,northeast head lice treatment,, +lice +treatment,1
broad,what to do if your kid has lice,, +kids +lice,1
exact (close variant),what kills nits and head lice,,[what kills head lice and nits],1
exact (close variant),donhead lice jump,,[do head lice jump],1
