Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Arts & Entertainment/Events & Listings/Event Ticket Sales,GBP,1441,0,1.00,0.00,1.00,11.133741
/Arts & Entertainment/Humor/Live Comedy,GBP,1439,3,1.00,0.00,1.00,10.360080
/Arts & Entertainment/Music & Audio/Dance & Electronic Music,GBP,892,0,0.00,0.00,0.00,7.625152
/World Localities/Latin America/South America/Argentina,GBP,54,0,1.00,0.00,1.00,0.380291
/World Localities/North America/Canada/Ontario/Greater Toronto,GBP,40,0,0.00,0.00,0.00,0.292720
/World Localities/North America/USA/Southwest (USA)/New Mexico,GBP,1,0,0.00,0.00,0.00,0.010004
/Sports/World Sports Competitions/Olympics,GBP,1384,4,1.00,0.00,1.00,10.804748
/World Localities/Europe/Mediterranean Europe/Vatican City,GBP,14,0,0.00,0.00,0.00,0.136384
/Business & Industrial/Agriculture & Forestry/Crops & Seed,GBP,233,0,0.00,0.00,0.00,2.052625
/World Localities/Asia/Southeast Asia/Philippines/Manila,GBP,15,0,0.00,0.00,0.00,0.151132
/World Localities/Europe/Nordic Countries,GBP,1320,0,2.00,0.00,2.00,11.133227
/World Localities/North America/USA/Florida/Central Florida/Tampa Bay Area,GBP,2,0,0.00,0.00,0.00,0.014339
/World Localities/North America/USA/Midwest (USA)/Indiana/Indianapolis,GBP,2,0,0.00,0.00,0.00,0.016096
/Science/Engineering & Technology/Robotics,GBP,542,2,0.00,0.00,0.00,4.387953
/World Localities/Asia/East Asia/Japan/Kansai,GBP,100,1,0.00,0.00,0.00,0.938291
/World Localities/Europe/Mediterranean Europe/Malta,GBP,92,0,0.00,0.00,0.00,0.705045
/World Localities/Europe/Mediterranean Europe/Portugal/Porto,GBP,11,0,0.00,0.00,0.00,0.100131
/World Localities/North America/USA/South (USA)/Tennessee,GBP,116,0,0.00,0.00,0.00,1.173436
/Arts & Entertainment/Movies/Movie Memorabilia,GBP,23,0,0.00,0.00,0.00,0.200134
/Arts & Entertainment/Music & Audio/World Music,GBP,519,2,0.00,0.00,0.00,4.236898
/Business & Industrial/Business Services/Writing & Editing Services,GBP,228,0,0.00,0.00,0.00,1.699580
/Hobbies & Leisure/Outdoors/Equestrian,GBP,355,1,1.00,0.00,1.00,2.820226
/Business & Industrial/Business Finance/Investment Banking,GBP,1337,0,2.00,0.00,2.00,12.637255
/Business & Industrial/Metals & Mining/Precious Metals,GBP,246,0,0.00,0.00,0.00,2.158935
/People & Society/Ethnic & Identity Groups/Asians & Diaspora/Southeast Asians & Pacific Islanders,GBP,122,0,0.00,0.00,0.00,1.024641
/World Localities/Latin America/South America/Brazil/South Brazil,GBP,2,0,0.00,0.00,0.00,0.011778
/World Localities/Latin America/South America/Colombia,GBP,25,1,0.00,0.00,0.00,0.205799
/World Localities/North America/USA/South (USA)/Louisiana,GBP,21,1,0.00,0.00,0.00,0.186307
/Autos & Vehicles/Vehicle Brands/Acura,GBP,96,0,0.00,0.00,0.00,0.623828
/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Android Apps,GBP,517,1,0.00,0.00,0.00,3.703551
/World Localities/Asia/West Asia/Israel,GBP,38,0,0.00,0.00,0.00,0.313074
/Business & Industrial/Chemicals Industry/Plastics & Polymers,GBP,226,0,0.00,0.00,0.00,2.133940
/Health/Public Health,GBP,1265,2,1.00,0.00,1.00,11.223922
/Health/Women's Health,GBP,1707,1,0.00,0.00,0.00,13.932390
/People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby & Toddler Toys,GBP,2639,3,0.00,0.00,0.00,28.998677
/Reference/Humanities/Myth & Folklore,GBP,501,0,0.00,0.00,0.00,4.318162
/Shopping/Gifts & Special Event Items/Flowers,GBP,1316,1,4.00,0.00,4.00,11.449714
/World Localities/Asia/East Asia/China/Northwest China/Xinjiang,GBP,5,0,0.00,0.00,0.00,0.032359
/World Localities/Europe/Mediterranean Europe/Italy/Abruzzo,GBP,14,0,0.00,0.00,0.00,0.077559
/World Localities/North America/USA/Great Plains (USA)/Oklahoma,GBP,11,0,0.00,0.00,0.00,0.121805
/World Localities/North America/USA/Midwest (USA)/Wisconsin,GBP,49,0,0.00,0.00,0.00,0.476923
/Arts & Entertainment/Movies/Drama Films,GBP,2754,3,1.00,0.00,1.00,22.388963
/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Game Shows,GBP,586,0,0.00,0.00,0.00,3.286811
/Games/Computer & Video Games/Video Game Development,GBP,88,0,0.00,0.00,0.00,0.825471
/Health/Reproductive Health/OBGYN,GBP,1667,0,0.00,0.00,0.00,13.013176
/Business & Industrial/Business Services/Fire & Security Services,GBP,64,0,0.00,0.00,0.00,0.429190
/Computers & Electronics/Computer Hardware/Hardware Modding & Tuning,GBP,7,0,0.00,0.00,0.00,0.035538
/Health/Men's Health,GBP,156,0,0.00,0.00,0.00,0.970264
/Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories/Bluetooth Accessories,GBP,119,0,0.00,0.00,0.00,1.071008
/Law & Government/Military/Marines,GBP,132,0,1.00,0.00,1.00,1.155682
/Sports/Sporting Goods/Baseball Equipment,GBP,3,0,0.00,0.00,0.00,0.019204
/Travel/Specialty Travel/Adventure Travel,GBP,732,0,0.00,0.00,0.00,5.056311
/World Localities/Europe/Western Europe/France/South East France/Rh��ne-Alpes/Lyon,GBP,4,0,0.00,0.00,0.00,0.018068
/World Localities/Polar Regions,GBP,249,0,0.00,0.00,0.00,1.805775
/Food & Drink/Cooking & Recipes/Cuisines/South Asian Cuisine,GBP,2976,0,5.00,0.00,5.00,24.207491
/News/Broadcast & Network News,GBP,1465,1,2.00,0.00,2.00,9.621734
/News/Gossip & Tabloid News/Scandals & Investigations,GBP,273,0,0.00,0.00,0.00,2.385833
/Sports/Individual Sports/Cycling,GBP,1095,0,1.00,0.00,1.00,7.724231
/Arts & Entertainment/Music & Audio/Music Reference/Sheet Music,GBP,1,0,0.00,0.00,0.00,0.009997
/People & Society/Family & Relationships/Troubled Relationships/Divorce & Separation,GBP,1062,1,0.00,0.00,0.00,8.517258
/World Localities/Africa/Eastern Africa/Zambia,GBP,2,0,0.00,0.00,0.00,0.012421
/World Localities/North America/USA/Midwest (USA)/Michigan/Grand Rapids-West Michigan,GBP,7,0,0.00,0.00,0.00,0.045933
/Business & Industrial/Hospitality Industry/Event Planning,GBP,618,1,2.00,0.00,2.00,6.004551
/Health/Health Conditions/AIDS & HIV,GBP,248,0,1.00,0.00,1.00,1.921719
/World Localities/North America/Canada/British Columbia,GBP,16,0,0.00,0.00,0.00,0.156468
/World Localities/North America/USA/South (USA)/Tennessee/Memphis,GBP,6,0,0.00,0.00,0.00,0.051121
/Autos & Vehicles/Vehicle Brands/Hyundai,GBP,28,0,0.00,0.00,0.00,0.207996
/Home & Garden/Kitchen & Dining/Cookware & Diningware,GBP,1743,1,3.00,0.00,3.00,16.604968
/News/Health News,GBP,127,0,0.00,0.00,0.00,0.988642
/World Localities/North America/USA/Hawaii,GBP,66,0,0.00,0.00,0.00,0.571183
/Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies,GBP,1745,2,5.00,0.00,5.00,13.440234
/Food & Drink/Food/Grains & Pasta,GBP,1709,2,0.00,0.00,0.00,12.897586
/World Localities/Europe/Western Europe/France/South East France,GBP,333,0,3.00,0.00,3.00,2.992343
/Autos & Vehicles/Vehicle Parts & Accessories,GBP,572,1,0.00,0.00,0.00,3.843674
/Food & Drink/Food/Fruits & Vegetables,GBP,10218,10,9.00,0.00,9.00,83.813456
/Law & Government/Military,GBP,2217,0,4.00,0.00,4.00,18.094514
/World Localities/Asia/West Asia/Oman,GBP,98,0,0.00,0.00,0.00,0.936340
/People & Society/Social Issues & Advocacy/Poverty & Hunger,GBP,826,1,2.00,0.00,2.00,7.453445
/World Localities/Europe/Central & Eastern Europe/Austria,GBP,122,0,0.00,0.00,0.00,0.946002
/World Localities/Europe/Mediterranean Europe/Italy/Campania/Naples,GBP,84,0,0.00,0.00,0.00,0.921880
/Arts & Entertainment,GBP,444082,498,427.00,1.00,426.00,3640.363932
/Arts & Entertainment/Music & Audio/Classical Music,GBP,906,1,0.00,0.00,0.00,7.666296
/Computers & Electronics/Software/Multimedia Software/Audio & Music Software,GBP,45,0,0.00,0.00,0.00,0.396377
/Games/Table Games,GBP,219,0,0.00,0.00,0.00,1.692990
/People & Society/Subcultures & Niche Interests/Science Fiction & Fantasy,GBP,376,0,1.00,0.00,1.00,3.162818
/World Localities/Asia/Russia & CIS/Russian Federation/North Caucasian District,GBP,3,0,0.00,0.00,0.00,0.022255
/World Localities/North America/USA/Mid-Atlantic (USA)/Maryland,GBP,25,0,1.00,0.00,1.00,0.195507
/Arts & Entertainment/Comics & Animation/Comics,GBP,1224,0,0.00,0.00,0.00,10.784024
"/Finance/Grants, Scholarships & Financial Aid/Study Grants & Scholarships",GBP,76,0,0.00,0.00,0.00,0.500721
/Finance/Investing/Currencies & Foreign Exchange,GBP,14767,18,3.00,0.00,3.00,114.911242
/People & Society/Social Sciences/Psychology,GBP,6753,15,4.00,0.00,4.00,58.959230
/Arts & Entertainment/Comics & Animation/Cartoons,GBP,537,0,0.00,0.00,0.00,5.799767
/Autos & Vehicles/Campers & RVs,GBP,113,0,0.00,0.00,0.00,0.895555
/World Localities/North America/USA/Alaska,GBP,24,0,0.00,0.00,0.00,0.177646
/World Localities/North America/USA/South (USA)/Alabama,GBP,52,0,0.00,0.00,0.00,0.472618
/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments,GBP,220,0,0.00,0.00,0.00,2.108665
/Business & Industrial/Transportation & Logistics/Rail Transport,GBP,5346,6,1.00,0.00,1.00,41.408726
/World Localities/Asia/Southeast Asia/Myanmar,GBP,67,0,0.00,0.00,0.00,0.659509
/Law & Government/Legal/Product Liability,GBP,81,0,0.00,0.00,0.00,0.554434
/Sports/Sport Scores & Statistics,GBP,47,0,0.00,0.00,0.00,0.353860
/Arts & Entertainment/Music & Audio/Music Reference,GBP,1002,3,1.00,0.00,1.00,8.666379
/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,GBP,28,0,0.00,0.00,0.00,0.219873
/World Localities/Europe/Western Europe/United Kingdom/Wales,GBP,498,0,2.00,0.00,2.00,3.430227
/World Localities/North America/USA/Florida/Southern Florida/South Florida Metro/Miami-Dade,GBP,74,0,0.00,0.00,0.00,0.564721
/People & Society/Social Issues & Advocacy/Discrimination & Identity Relations,GBP,483,0,0.00,0.00,0.00,4.010190
/World Localities/Latin America/South America/Brazil/Northeast Brazil/Bahia,GBP,7,0,0.00,0.00,0.00,0.067863
/World Localities/North America/USA/Great Plains (USA),GBP,62,0,0.00,0.00,0.00,0.390854
/Law & Government/Public Safety/Crime & Justice,GBP,2482,5,2.00,0.00,2.00,19.711197
/World Localities/Europe/Western Europe/France/��le-de-France/Paris,GBP,761,1,3.00,0.00,3.00,6.578289
/Autos & Vehicles/Custom & Performance Vehicles,GBP,297,0,0.00,0.00,0.00,1.907146
/Finance/Investing/Funds,GBP,928,1,3.00,0.00,3.00,6.977456
/Health/Health Conditions/Sleep Disorders,GBP,3891,4,1.00,0.00,1.00,30.296947
/Arts & Entertainment/Music & Audio/Folk & Traditional Music,GBP,666,0,1.00,0.00,1.00,5.388012
/Sports/Individual Sports/Bowling,GBP,13,0,0.00,0.00,0.00,0.099750
/Arts & Entertainment/Music & Audio/World Music/Latin American Music,GBP,168,1,0.00,0.00,0.00,1.191431
/Autos & Vehicles/Boats & Watercraft,GBP,319,0,1.00,0.00,1.00,2.513384
/Computers & Electronics/Networking/Network Monitoring & Management,GBP,15,0,0.00,0.00,0.00,0.105174
/Games/Roleplaying Games,GBP,1711,3,0.00,0.00,0.00,11.206897
/Home & Garden/Home Improvement/Flooring,GBP,410,0,0.00,0.00,0.00,3.894406
"/Jobs & Education/Education/Colleges & Universities/Fraternities, Sororities & Student Societies",GBP,158,0,0.00,0.00,0.00,1.317528
/Sports/Combat Sports/Martial Arts,GBP,122,0,1.00,0.00,1.00,1.016204
/World Localities/North America/USA/New England/Rhode Island/Providence,GBP,2,0,0.00,0.00,0.00,0.015998
/Business & Industrial/Transportation & Logistics/Import & Export,GBP,492,0,0.00,0.00,0.00,3.969831
/Games/Family-Oriented Games & Activities/Dress-Up & Fashion Games,GBP,262,1,0.00,0.00,0.00,2.773628
/Home & Garden/Bed & Bath/Bedroom/Mattresses,GBP,913,0,0.00,0.00,0.00,8.367047
/World Localities/North America/USA/New England/Vermont,GBP,3,0,0.00,0.00,0.00,0.024161
/Autos & Vehicles/Vehicle Brands/Jeep,GBP,124,0,0.00,0.00,0.00,0.771327
/Food & Drink/Food/Meat & Seafood,GBP,17788,22,13.00,0.00,13.00,138.755518
/Law & Government/Government/Government Ministries,GBP,55,0,0.00,0.00,0.00,0.457508
/Shopping/Apparel/Men's Clothing,GBP,2312,6,5.00,0.00,5.00,15.914305
/Arts & Entertainment/Movies/Horror Films,GBP,372,2,1.00,0.00,1.00,2.573199
