Row Labels,Targeting,Recency,Sum of Viewability,Sum of Active View: Measurable Impressions,Sum of Active View: Viewable Impressions,Sum of Impressions,Sum of Quotes,Sum of Spend,Viewgroup
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.508378777,60331,30671,63114,15,270.736992,50%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.499785826,42022,21002,46398,11,119.985466,40%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.498401096,8756,4364,9233,9,18.581292,40%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.498293515,4981,2482,5058,3,11.745608,40%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.493641484,17221,8501,17943,17,36.411075,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.489256114,19546,9563,20541,8,41.774369,40%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.48744819,25574,12466,29003,4,100.01664,40%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.481058571,14888,7162,15591,6,32.113542,40%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.4797076,21067,10106,24877,9,77.028443,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_300x250_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.472727273,165,78,173,,0.205543,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.47131683,57403,27055,60321,26,255.636601,40%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.468646865,303,142,315,,1.04711,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_300x250_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.458715596,109,50,112,,0.134791,40%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.437696043,43039,18838,44706,8,188.15911,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.4304113,4814,2072,4997,,11.678316,40%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.427291617,88071,37632,92260,27,388.84871,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.407166124,307,125,320,,1.063544,40%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.4,1385,554,1414,3,3.36215,30%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.396699647,86718,34401,88065,38,372.304416,30%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.391277035,44572,17440,45174,27,188.621805,30%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.372739917,719,268,738,,2.706544,30%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.369453674,47554,17569,48281,19,203.586653,30%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.36332879,41084,14927,41809,10,181.078519,30%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.360269075,47273,17031,48158,23,210.28509,30%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.323552124,14245,4609,14580,15,28.142168,30%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_300x250_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.322957198,257,83,268,,0.319402,30%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.320323718,7661,2454,7777,19,16.233558,30%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.317974453,2192,697,2214,2,5.316084,30%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.314654293,19612,6171,20056,9,41.117065,30%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.307270066,8198,2519,8330,5,15.704721,30%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.301264712,13679,4121,13925,8,28.500375,30%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.291863517,9525,2780,9671,3,22.470398,-30%
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.261784184,2567,672,2633,2,6.253525,-30%
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.260397594,7646,1991,7837,3,17.890494,-30%
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.188658469,5449,1028,5613,,13.103084,-30%
