Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/02,P&O_UK_Starcom,423260,Active,,Yes,GBP,3848313,1575,15650.728490,10690.485698
2016/03,KFC_UK_Blue449,595178,Active,,No,GBP,1954,18,29.412506,20.585907
2016/07,BBC Store_UK_Zenith,813934,Active,,Yes,GBP,841088,880,2980.533614,2086.400371
2016/03,NetworkRail_UK_Blue449,497772,Active,,Yes,GBP,7960186,16781,25920.393394,17424.640675
2016/01,Boots_UK_Blue449,402838,Active,,Yes,GBP,2398362,3102,16354.018010,11448.032409
2016/01,National Geographic_UK_Blue449,420233,Active,,Yes,GBP,4085910,10692,26883.811092,18361.170409
2016/02,Coty_UK_Zenith,737469,Active,,Yes,GBP,720872,227,3085.227104,2159.688934
2016/12,Swarovski_UK_Zenith,144532,Active,,Yes,GBP,15088852,15367,64280.475091,40905.991098
2016/02,DSG_UK_Blue449,341246,Active,,Yes,GBP,1824669,4741,10908.450404,7533.126697
2016/05,Lombard_UK_Zenith,883545,Active,,Yes,GBP,1193038,1610,2512.825176,1705.737293
2016/11,Toyota (Non DFA)_UK_Zenith,361847,Active,,No,GBP,571,1,10.345455,6.940438
2016/03,Net-A-Porter_UK_Zenith,633491,Active,,No,GBP,108335,157,862.220601,603.561783
2016/03,Next_UK_Zenith,378754,Active,,Yes,GBP,154564573,199480,450621.489088,294810.810984
2016/06,Omega_UK_Zenith,201041,Active,,Yes,GBP,6881012,5513,34982.796817,23681.804913
2016/02,Lidl_UK_Starcom NEW,707063,Active,,No,GBP,1342815,1391,8833.340257,5883.307521
2016/05,NAS_UK_Zenith,997302,Active,,Yes,GBP,435307,372,1408.192592,906.424998
2016/12,ACER USD_UK_Zenith International,290566,Active,,No,USD,1174274,22988,22784.641140,15911.001244
2017/01,Lexus_UK_Zenith,5072,Active,,Yes,GBP,1206019,1506,7624.126376,4852.505828
2016/08,Qantas_UK_Zenith International,475267,Active,,No,GBP,2630,1,9.256457,6.479599
2016/01,Aviva_UK_Zenith,3601,Active,,Yes,GBP,27584445,21497,103823.385533,68714.590923
2016/06,ACER_UK_Zenith,283933,Active,,No,GBP,11911,2,34.807521,24.365562
2016/09,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,14098351,9803,35625.841614,24359.346024
2016/01,MOHG_UK_Blue449,332932,Active,,Yes,USD,8107199,12185,57720.660117,40149.790750
2016/01,Omega_UK_Zenith,201041,Active,,No,GBP,17184,11,60.564780,41.345845
2016/05,Vemedia_UK_Zenith,639653,Active,,No,GBP,19098,8,55.452377,38.811650
2016/01,Disney Worldwide_UK_Blue449,357260,Active,,No,GBP,994059,603,4109.933121,2876.360483
2016/01,Lombard_UK_Zenith,883545,Active,,No,GBP,554287,456,3119.196160,2181.613016
2016/01,Avon BAR_UK_Starcom,576911,Active,,Yes,GBP,2,0,0.000000,0.000000
2016/02,Dixons_UK_Blue449-DCM,662172,Active,,Yes,GBP,47839443,25367,88390.712584,61874.258579
2016/10,Net-A-Porter_UK_Zenith,633491,Active,,No,GBP,202072,160,1251.441459,815.393878
2016/10,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,15362730,13714,35667.378274,23977.413384
2016/02,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,4261779,2897,15597.651648,10666.523646
2016/07,Lexus_UK_Zenith,5072,Active,,No,GBP,2343157,3598,30409.998621,21295.396593
2016/01,DSG_UK_Blue449,341246,Active,,Yes,GBP,3722632,3449,14707.006110,10066.984057
2016/02,Dixons_UK_Blue449-DCM,662172,Active,,No,GBP,2477649,1820,10014.247093,7010.058942
2016/05,Net-A-Porter_UK_Zenith,633491,Active,,Yes,GBP,858443,761,8055.240876,5638.746544
2016/12,Aviva_UK_Zenith,3601,Active,,Yes,GBP,13024763,5861,44786.594518,27229.799617
2016/01,Qantas_UK_Zenith International,475267,Active,,No,GBP,3673,0,11.866185,7.645915
2016/03,Centerparcs_UK_Blue449,414245,Active,,Yes,GBP,7580842,9010,24014.384603,15418.586663
2016/03,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,1839290,9391,13466.763963,9314.147862
2016/02,ACER_UK_Zenith,283933,Active,,No,GBP,229839,465,1490.414123,1041.894617
2016/07,MOHG_UK_Blue449 DFA USD,542441,Active,,No,USD,5832,1,40.893379,28.449852
2016/02,Entertainment One_UK_Zenith,8451,Active,,No,GBP,895883,6443,20296.098646,14203.136502
2016/02,Net-A-Porter_UK_Zenith,633491,Active,,No,GBP,42621,26,296.149009,207.306836
2016/12,Toyota_UK_Zenith,5071,Active,,Yes,GBP,12617253,10878,72555.065726,45548.371164
2016/05,Harvey Nichols_UK_Zenith,662673,Active,,Yes,GBP,2996433,3010,7590.891511,4649.729829
2016/12,Molson Coors_UK_Zenith (DCM),676041,Active,,No,GBP,12747,18,192.995777,135.098691
2016/06,Lexus (Non DFA)_UK_Zenith,461838,Active,,Yes,GBP,851193,2675,10144.514159,6585.050618
2016/09,SCA_UK_Zenith,543450,Active,,Yes,GBP,11136214,7877,22833.377301,15600.291478
2016/05,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,458160,6802,8186.523393,5729.560769
2016/01,Coty_UK_Zenith,737469,Active,,No,GBP,207043,4971,4528.079409,3169.694267
2016/02,Cineworld_UK_Starcom,188063,Active,,No,GBP,50451,25,180.348365,123.931129
2016/08,Lombard_UK_Zenith,883545,Active,,No,GBP,872167,3784,4754.722145,3314.094881
2016/08,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,13296524,29162,129608.447993,90293.311338
