Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
13/08/2016,COTY_UK_ZENITH,GBP,PMP_GumGum_Multi_RON_Fixed_BidSwitch_TTD_Coty_UK_In-Screen,31784,297,"55,118,289,377,897,400","385,802,975,012,136"
13/08/2016,COTY_UK_ZENITH,GBP,,97138,133,"62,333,781,151,186,000","36,050,496,985,520,400"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,50413,119,"13,998,156,155,840,100","97,671,246,619,544,400"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5491,13,"35,102,777,296,971,900","2,453,753,257,026,050"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9932,1,"82,672,035,540,019,300","57,808,176,474,336,100"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3708,96,"6,619,811,072,732,840","46,335,754,432,064,100"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1461,29,"35,841,574,124,368,200","25,087,947,512,302,200"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,4854,5,"29,449,985,277,992,800","20,584,573,901,254,700"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,1459,14,"22,039,546,653,906,300","15,418,537,440,283,000"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Xad_Mercedes Audience_Floor: £3.50_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,22237,40,"15,386,036,240,836,900","10,756,289,327,217,300"
13/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1664358,2099,"51,563,944,334,861,100","3,422,251,545,813,470"
14/08/2016,COTY_UK_ZENITH,GBP,PMP_GumGum_Multi_RON_Fixed_BidSwitch_TTD_Coty_UK_In-Screen,31727,309,"55,036,533,294,226,100","385,230,719,583,644"
14/08/2016,COTY_UK_ZENITH,GBP,,96611,113,"62,017,846,647,101,100","35,874,874,707,360,500"
14/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,50602,147,"14,024,668,937,059,200","97,855,528,842,184,400"
