Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Existing Customers_Retargeting_March,3054349,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Viewed Car pages 24 Hours,10466943,Active,PFHN25,,GBP,12848,5,36.054359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_MSFT_Aviva Homepage,6810556,Paused,VIVAKIAOD_Retargeting,,GBP,100962,73,266.858167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Existing Customers_Retargeting_January,2886944,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24 Hours,9761260,Active,PCVX2H,,GBP,48910,17,131.630464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Peak_AV>50%,11647028,Active,PGNK08,VisualDNA,GBP,6422,1,20.015523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Yahoo_End Quote,6399972,Paused,VIVAKIAOD_Retargeting,,GBP,81425,42,330.504943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_MotorGoodThinkingLandingPage,7056043,Paused,VIVAKIAOD_Retargeting,,GBP,20548,13,80.754194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Monday_AV>50%,8394664,Paused,PBJWFF,VisualDNA,GBP,11035,16,31.698774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_Monday_AV>50%,8734042,Paused,PC23K9,VisualDNA,GBP,23413,28,72.344801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_FIL_KEY CON TAR_AD_CPA_RTB_Desktop_AV>50%,10466947,Active,PFHN44,,GBP,1497071,270,3317.09358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours,6399927,Paused,VIVAKIAOD_Retargeting,,GBP,10346,0,44.317325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
